Rk,Player,Nation,Pos,Squad,Age,Born,90s?,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
361,Lukas Rupp,de GER,"FW,MF",Norwich City,28,1991,7.7,0,4,2,50,0.52,0.26,0,0,16.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3
362,Moritz Leitner,de GER,MF,Norwich City,26,1992,7.6,0,8,0,0,1.05,0,0,,22,0,0,0,0.2,0.2,0.03,-0.2,-0.2
363,Roberto,es ESP,GK,West Ham,33,1986,7.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
364,Bernardo,br BRA,DF,Brighton,24,1995,7.5,0,7,2,28.6,0.93,0.27,0,0,18.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
365,Callum Robinson,ie IRL,"FW,MF",Sheffield Utd,24,1995,7.5,1,13,3,23.1,1.73,0.4,0.08,0.33,13.5,0,0,0,2.1,2.1,0.16,-1.1,-1.1
366,Martinelli,br BRA,FW,Arsenal,18,2001,7.4,3,12,5,41.7,1.63,0.68,0.25,0.6,13.2,0,0,0,2.3,2.3,0.19,0.7,0.7
367,Michael Obafemi,ie IRL,FW,Southampton,19,2000,7.4,3,12,4,33.3,1.62,0.54,0.25,0.75,14.3,0,0,0,1.9,1.9,0.16,1.1,1.1
368,Max Meyer,de GER,"MF,FW",Crystal Palace,23,1995,7.3,0,9,2,22.2,1.24,0.27,0,0,17,0,0,0,0.6,0.6,0.07,-0.6,-0.6
369,Pedro,es ESP,FW,Chelsea,32,1987,7.3,1,23,9,39.1,3.13,1.23,0.04,0.11,15.7,0,0,0,2.8,2.8,0.12,-1.8,-1.8
370,Josip Drmi?,ch SUI,"FW,MF",Norwich City,26,1992,7.2,1,13,5,38.5,1.81,0.7,0.08,0.2,13.2,0,0,0,2.6,2.6,0.23,-1.6,-1.6
371,Rúben Vinagre,pt POR,DF,Wolves,20,1999,7.2,0,5,0,0,0.69,0,0,,13,0,0,0,0.3,0.3,0.07,-0.3,-0.3
